Init Weights Param,Mean Opt Param,Mean Num Weights,Mean Port Return,Mean Optim Iter,Num,Time
-0.893197007,-1.044436565,10,9827,2,10,0.009450541
-1.188961841,3.965498341,12,10175,12.3,20,0.08378479
-1.137485686,10.95796816,13.96,10356.36,23.49,30,0.246064074
0.778832201,19.7580158,15.03,10530,32.38,40,0.484577718
0.07998915,22.81895273,19.85,10231.13,74,50,1.488325129
0.32970004,23.18802867,20.56,10299.54,75.32,60,1.762240796
0.515713277,67.96721286,24.62,10217.17,108.77,70,3.094887016
-0.203163837,131.6177084,41.01,10186.68,67.44,80,2.267619698
0.245949691,138.6730135,39.51,10221.31,75.56,90,2.993071194
0.934017168,176.8682772,40.94,10347.34,86.76,100,4.008029249
-0.819092013,179.3647726,43.82,10343.75,83.51,110,4.45759496
-1.0274146,57.38156598,17,11589.08,53.29,120,3.226194527
-1.120407615,57.38193137,17,11589.01,53.73,130,4.037340925
-1.517284957,57.38171065,17,11589.03,52.25,140,4.274164469
-1.46680515,57.3819554,17,11589.04,54.42,150,5.049038787
-1.705272301,57.38194122,17,11589.05,54.64,160,5.729487705
-1.609178234,313.8082287,50.86,10660.65,59.82,170,6.932516518
-1.196072218,67.24601592,16,11902.98,50.47,180,6.352553346
-1.193577666,318.9680949,54.9,10722.67,68.87,190,9.840372839
-1.052008161,330.8451001,55.79,10756.85,66.32,200,10.4411372
-0.794011222,153.7205984,30.14,11843.18,45.63,210,7.825507593
-1.013865517,171.629295,31.68,11804.81,45.55,220,8.976553428
-1.001609149,164.7426964,31.98,11787.91,46.91,230,9.412668371
-0.916206064,451.4023976,55.58,10877.43,72.13,240,16.46438171
-0.92248802,376.1852539,52.54,10977.62,53.06,250,13.10172938
-1.217793,382.0689737,53.26,10982.18,53.03,260,14.17879098
-1.150398215,346.0190285,51.99,11011.66,51.55,270,15.02969965
-1.255276781,360.3252165,52.45,11001.6,52.53,280,16.65190243
-1.158434423,354.2812721,53.09,11037.64,49.8,290,17.01883342
-1.239155577,362.7317301,53.47,11043.36,49.19,300,17.95573701
-1.332030912,359.9043297,52.96,11042.3,48.93,310,18.82358665
-1.414905836,360.7464207,53.99,11038.29,48.95,320,21.83728902
-1.267437853,347.8625892,53.17,11072.86,44.03,330,18.90271117
-1.233997559,363.3582509,54.55,11051.69,45.11,340,20.94435795
-1.195235211,356.2502246,54.74,11061.97,44.46,350,21.75934456
-1.24237559,349.7754624,54.84,11061.44,44.62,360,24.34282233
-0.609830404,92.85724877,11,13747,12.24,370,6.042055585
-0.295541731,400.4107802,49.74,11501.02,49.32,380,32.2659255
-0.133098921,394.1723422,50.66,11476.79,49.85,390,39.95589535
-0.003878278,390.9597475,50.2,11505.74,51.45,400,45.32573248
0.001799007,391.3612712,50.46,11541.29,51.12,410,43.19332052
-0.076367767,389.4620164,51.12,11541.19,51.01,420,49.81362918
0.21825056,135.3304049,11.63,14790.19,12.14,430,9.796760342
0.343997019,135.3248456,11.6,14790.49,11.71,440,10.28714839
0.446867101,426.0998234,39.11,12396,43.56,450,44.79589218
0.3421044,414.7810449,38.81,12430.49,43.23,460,47.49558659
0.316215445,432.7217208,40.15,12401.11,44.32,470,51.56869956
0.256927768,511.9986826,41.2,12465.71,40.11,480,50.74549247
0.524478271,283.5397311,11.96,15265.69,16.11,490,19.89288781
0.483245002,283.1917261,11.95,15273.06,15.53,500,21.51472057
